Address,OgAndy,SLERF,BRANDY
0x8af712d54B9121B153d4aD3679652FDacD377B4d,2544505515332,5051425078851011825195685,4500000000000000
0xc7239723911f718277a94D8edd48bb17364809aA,10000000000000,7257305689698821416642580,11206532881870034
0x607538488D455F05F046378c20F078631b184908,1650646188834,2426220614336677410654951,4489066019786940
0x887a2CA663c35fD607a1Ce6db77e8a5365FE00c4,15564809019747,8264944705112867560456689,11765098779263107
0x67011c98e6452332ad3587535aB8c99F9eA78217,322115387022,2171105445633882439241728,5183803596238396
0xb8Ff2B58da9cC02747Bf7559fC2a3078F71255B6,5000122772421,10446001561354021044690197,6124018160301391
